,id,shx,vla,hla
0,1,0,-9,"-11
"
1,10,0,-10,"-11
"
2,12,0,-9,"0
"
3,13,-2,-5,"-2
"
4,14,-3,-6,"-1
"
5,15,0,-3,"-3
"
6,16,-2,-7,"-2
"
7,17,0,-8,"-2
"
8,18,0,-11,"-1
"
9,19,4,-8,"-5
"
10,2,0,-10,"-2
"
11,20,0,-7,"-9
"
12,21,0,-16,"-6
"
13,22,0,-20,"-4
"
14,23,0,-16,"-4
"
15,24,0,-13,"-2
"
16,25,0,-12,"-6
"
17,26,0,-10,"-4
"
18,27,0,-1,"1
"
19,28,0,-1,"0
"
20,29,0,-7,"0
"
21,3,0,-12,"-6
"
22,30,0,-2,"-5
"
23,31,7,-19,"0
"
24,32,0,-9,"-3
"
25,33,2,-13,"-3
"
26,34,0,-4,"-8
"
27,35,0,-9,"-12
"
28,36,3,-16,"-10
"
29,37,0,-8,"-6
"
30,38,0,-5,"-4
"
31,39,0,-10,"-10
"
32,4,0,-19,"-1
"
33,40,0,-14,"0
"
34,41,0,-8,"-3
"
35,42,0,-16,"-2
"
36,43,0,-10,"-8
"
37,44,0,-12,"-16
"
38,45,0,-18,"-13
"
39,46,0,-17,"9
"
40,47,0,-20,"8
"
41,48,0,-12,"-3
"
42,49,0,-11,"-2
"
43,5,0,-15,"-4
"
44,50,0,-11,"0
"
45,51,0,-10,"-6
"
46,52,0,-16,"-5
"
47,53,0,-12,"-8
"
48,54,0,-20,"0
"
49,55,0,-18,"0
"
50,56,0,-21,"-1
"
51,6,0,-26,"0
"
52,7,-2,-11,"0
"
53,8,0,-6,"0
"
54,9,0,-10,"-1
"
